Internal Event Name,Event ID,Team Division,Company,Number of Participants,Total Fees Paid,Team Total Confirmed ($),Total Online Gifts($),Total Offline Confirmed Gifts($),Total Offline Unconfirmed Gifts($),Team Goal($),Total Confirmed Gifts in Team History($),Previous Event Fiscal Year,Previous Event Confirmed Gifts($),Previous Event Team Members,Fiscal Year
"Texas, Houston - 2014 BP MS 150",22598,Corporate,BP,618,63420,1249481.91,751129.19,498352.72,5743.14,1000000,1249481.91,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,BP America,725,71200,1224479.89,733985.9,490493.99,3483,1000000,1224479.89,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Team BP,569,55930,1037711.76,650919.91,386791.85,10763,1250000,2650325.31,2014,1249481.91,604,2015
TXH 2017 Bike MS: BP MS 150,28263,Corporate,BP,397,36505,879308.21,517226.17,362082.04,39638,750000,2650325.31,2016,725855.34,396,2017
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,"The Houstonian Club, Hotel and Spa",155,15910,831847.99,642758.32,189089.67,6455,1000000,1740697.43,2014,750048.65,149,2015
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,149,15490,750048.65,526021.11,224027.54,2425,1000000,750048.65,2013,488509.09,117,2014
TXH 2016 Bike MS: BP MS 150,27003,Corporate,BP,403,40269.97,725855.34,493858.5,231996.84,12342.5,1250000,2650325.31,2015,1037711.76,558,2016
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Noble Drilling Services Inc.,115,7560,723962.75,389941.35,334021.4,6360,600000,1468160.22,2016,430075.63,97,2017
TXH 2016 Bike MS: BP MS 150,27003,Corporate,"The Houstonian Club, Hotel and Spa",114,11139.99,585499.16,432134,153365.16,1895,615000,1740697.43,2015,831847.99,154,2016
"Texas, Houston - 2014 BP MS 150",22598,Corporate,ConocoPhillips,260,26350,491848.93,334714.26,157134.67,1350,500000,491848.93,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,116,11400,488509.09,372359.09,116150,500,400000,488509.09,,0,0,2013
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,Calpine Corporation,227,1100,451379.99,287152.29,164227.7,550,375000,1023486.92,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,ConocoPhillips,232,23920,438847.85,311565.04,127282.81,2751,500000,1042200.09,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Noble Drilling Services Inc.,110,7830,430075.63,182274.54,247801.09,1325,350000,1468160.22,2015,306596.84,68,2016
"Texas, Houston - 2013 BP MS 150",20226,Corporate,ExxonMobil,257,25300,426826.95,339089.92,87737.03,11500,450000,426826.95,,0,0,2013
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,242,21160,423708.23,293875.18,129833.05,25,275000,423708.23,,0,0,2014
"Texas, Houston - 2013 BP MS 150",20226,Corporate,ConocoPhillips,271,26600,420468.23,298279.05,122189.18,625,600000,420468.23,,0,0,2013
