,,,,,
National Team Name,Event Name,Event Start Date,Location,Revenue Raised,Number of Team Members
24 Hour Fitness Bike Team,,,,"$10,915.24",33
,FLN 2013 Bike MS: PGA TOUR Cycle to the Shore,09/28/2013,St. John's County Airport,$930.00,3
,2013 Ride The Vineyard,05/04/2013,Martha's Vineyard High School,$415.00,2
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY",$330.00,
,NYN 2016 BIKE MS: NYC,10/02/2016,Westside Highway and 46th St Pier 92/94,$400.00,2
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,$0.00,1
,2013 Bike MS Utah:  Harmons Best Dam Bike Ride,06/29/2013,"Logan, Utah","$8,840.24",25
Accenture Bike Team,,,,"$120,251.27",249
,Waves to Wine 2013,09/21/2013,San Francisco,"$3,256.00",6
,Bike to the Bay 2013,09/21/2013,Bike to the Bay,"$27,106.77",51
,BIKE MS 2013 - DEKALB,06/22/2013,ILLINOIS,"$1,310.00",7
,MNM 2018 Bike MS: MS 150 Ride,06/08/2018,Minnesota,$0.00,4
,MNM 2017 Bike MS: C.H. Robinson MS 150 Ride,06/09/2017,,"$5,055.00",8
,MOS 2017 Bike MS: Express Scripts Gateway Getaway Ride,09/09/2017,"Godfrey, IL",$35.00,1
,2013 Bike MS Gateway Getaway,09/07/2013,,"$3,655.00",4
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY",$740.00,2
,Bike MS: City to Shore Ride 2016,09/24/2016,New Jersey,"$8,222.50",25
,Bike MS: City to Shore Ride 2013,09/28/2013,New Jersey,"$14,850.00",45
,"Texas, Amarillo - bike MS: Ride the Rim 2013 presented by BP",06/22/2013,"Amarillo, TX",$295.00,1
,TXH 2018 Bike MS: BP MS 150,04/28/2018,,$35.00,
,TXH 2017 Bike MS: BP MS 150,04/29/2017,,"$13,907.00",34
,"Texas, Houston - 2013 BP MS 150",04/20/2013,Houston to Austin,"$34,029.00",44
,"Texas, San Antonio - Bike MS: Valero 2012 Alamo Ride to the River",10/13/2012,San Antonio,$490.00,
,2013 Bike MS - Washington,09/07/2013,Mount Vernon,"$7,265.00",17
Acorda Bike Team,,,,"$3,050.00",4
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY",$200.00,
,NYN 2017 Bike MS: New York City,10/22/2017,"New York City, NY","$2,850.00",4
Aetna Bike Team,,,,"$6,730.00",22
,Windsor Bike 2016,06/05/2016,"Griffin Land, Windsor, Conn.",$375.00,3
,Westport Bike MS 2013,06/09/2013,"Westport, Conn",$0.00,1
,Windsor Bike MS 2013,06/02/2013,"Windsor, Conn",$772.00,7
