Fiscal Year,Event ID,Security Category Name,Public Event Name,Event Created Date,Event Date,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Team pages with custom URL,Emails Sent,Personal pages with custom URL,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),Street Address,City,State,Zip Code,Internal Event Name,Previous Event ID
2016,27155,AKA Bike Events,Bike MS: Sitka 2016,10/6/2015 10:02,9/1/2016 8:42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,AKA 2016 Bike MS: Sitka,0
2016,27154,AKA Bike Events,Bike MS: Fairbanks 2016 (TEST ONLY),10/5/2015 18:02,3/19/2016 14:39,500000,45,0,0,0,0,6,6,4,0,1,0,0,0,0,45,0,0,0,0,2010 2nd Avenue,Fairbanks,AK,99701,AKA 2016 Bike MS: Fairbanks,0
2016,26886,AKA Bike Events, Bike MS: Anchorage 2016,8/19/2015 12:07,9/1/2016 13:02,0,7,0,0,0,0,2,2,1,0,17,1,0,0,0,7,0,0,0,0,,Anchorage,AK,99501,AKA 2016 Bike MS: Anchorage,0
2016,27089,AKA Bike Events,Bike MS: Juno 2016,9/29/2015 23:36,12/31/2016 23:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AKA 2016 Bike MS: Juno,0
2015,26357,ALC Bike Events,BB test,5/5/2015 13:06,1/1/2015 12:16,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,AL,,BB test,0
2014,22447,ALC Bike Events,Kuzava Test,7/23/2013 13:06,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Kuzava Test,0
2013,20341,ALC Bike Events,ALC Bike MS 2013,10/2/2012 11:05,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,AL,,ALC Bike MS 2013,0
2014,21746,ALC Bike Events,ALC Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ALC Bike MS 2014 OLD,0
2013,21038,ALC Bike Events,ALC 2013 Bike MS Clinton,11/17/2012 9:17,10/12/2013 12:00,165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,AL,,ALC 2013 Bike MS Clinton,17966
2016,25461,ALC Bike Events,Bike MS: Mississippi 150,10/20/2014 10:15,10/10/2015 17:13,100000,101,2,1235,53113.63,25050,13,13,4,1,1495,0,28063.63,31,13515,72,47138.63,1320,7865,7540,145 Executive Drive,Madison,MS,39110,ALC 2015 Bike MS: Mississippi 150,23558
2014,22490,ALC Bike Events,2014 Bike MS: North Alabama,7/30/2013 12:52,6/7/2014 10:02,100000,273,0,3185,96160.31,79892.24,18,20,12,0,4060,4,16268.07,126,22067,147,80844.31,15190,6059.07,6596,209 Fitness Way ,Athens,AL,35611,"Alabama, Athens - Bike MS: North Alabama 2014",20706
2013,20706,ALC Bike Events,2013 Bike MS: North Alabama,10/24/2012 11:44,6/8/2013 11:42,100000,231,2,3255,69456.75,40642.5,18,19,9,1,1602,6,28814.25,105,24165,128,56066.75,1370,10195,9775,"209 Fitness Way, Athens, AL 35611 ","Athens, AL ",AL,35611,"Alabama, Athens -  Bike MS: North Alabama 2013",18477
2017,28940,ALC Bike Events,Bike MS: Tour de Beach 2017,11/29/2016 16:14,9/16/2017 6:51,235000,544,10,8599,250058.34,151783.54,45,47,8,11,4616,54,98274.8,252,54256,302,212537.34,5509.88,7337.7,13275,4673 Wharf Pkwy W,Orange Beach,AL,36561,ALC 2017 Bike MS: Tour de Beach,27775
2013,17966,ALC Bike Events,2012 Bike MS: Bike to the Battlefield,9/20/2011 11:41,10/6/2012 11:22,165000,137,7,1784.54,67856.14,35761,15,15,5,0,1469,4,32095.14,114,32920,30,58842.82,5900,24057.2,22750,,Clinton,MS,39056,ALC 2012 Bike MS Clinton,15861
2015,23558,ALC Bike Events,2014 Bike MS: Bike to the Battlefield,11/6/2013 11:54,10/11/2014 10:01,100000,76,0,821.48,45302.4,22380,12,13,3,0,513,0,22922.4,30,17174.15,46,38448.25,740,11170,10220,102 Clinton Parkway,Clinton,MS,39056,"Mississippi, Clinton- Bike MS: Bike to the Battlefield 2014",21037
2014,21037,ALC Bike Events,Bike to the Battlefield,11/17/2012 8:42,10/12/2013 11:50,0,107,1,994.03,53357.63,24450,10,11,6,1,669,4,28907.63,62,20345,46,47874.13,125,13200,14861.5,102 Clinton Parkway,Clinton,MS,39056,"Mississippi, Clinton - 2013 Bike MS: Bike to the Battlefield",17966
2016,27776,ALC Bike Events,Bike MS: Rocket to the Shoals 2016,12/3/2015 10:16,6/4/2016 11:04,150000,150,1,1743.82,69628,51035.75,18,21,6,0,1525,0,18592.25,89,21602.75,62,58269.65,16200,5341.7,9654.4,209 Fitness Way,Athens,AL,35611,ALC 2016 Bike MS: Rocket to the Shoals,25459
2015,25460,ALC Bike Events,2015 Bike MS: Tour de Beach,10/20/2014 10:13,9/19/2015 14:40,215000,423,5,5347.5,179350.73,113254.53,31,32,9,2,4152,6,66096.2,185,40377.22,243,148415.51,3808.35,7264,8882,25518 Perdido Beach Blvd.,Orange Beach,AL,36561,ALC 2015 Bike MS: Tour de Beach,23557
2014,23557,ALC Bike Events,2014 Bike MS: Tour de Beach,11/6/2013 11:53,9/20/2014 10:00,217000,334,1,4620.24,126181.14,65871.75,26,27,7,0,2972,12,60309.39,128,31337,207,101934.14,1610,10579,5372,25518 Perdido Beach Blvd,Orange Beach,AL,36561,"Alabama, Orange Beach- Bike MS: Tour de Beach 2014",20900
2017,29050,ALC Bike Events,Bike MS: Rocket City 2017,1/23/2017 13:53,6/3/2017 8:31,115000,212,1,2043,58515.09,42590,17,20,9,0,1361,0,15925.09,122,24310,91,42950.09,5475,11561.69,8645,11306 County Line Road,Madison,AL,35756,ALC 2017 Bike MS: Rocket City,27776
2014,21887,ALC Bike Events,2014 ALC Bike MS,4/10/2013 12:14,,425000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ALC Bike MS 2014,0
2016,27775,ALC Bike Events,Bike MS: Tour de Beach 2016,12/3/2015 10:15,9/17/2016 14:24,215000,494,6,4428.8,204103.31,135283.42,33,35,11,0,6526,0,68819.89,228,48608.75,272,171912.56,2763.77,11865,15823,25518 Perdido Beach Blvd. ,Orange Beach,AL,36561,ALC 2016 Bike MS: Tour de Beach,25460
2017,27900,ALC Bike Events,2016 Bike MS: Mississippi 150,1/18/2016 15:45,10/8/2016 15:45,100000,108,5,1393.29,49140.8,25380,14,13,4,0,867,0,23760.8,46,13445,67,41950.8,1200,6330,6020,200 Township Place,"Ridgeland, MS",MS,39157,ALC 2016 Bike MS: Mississippi 150,25461
2013,20900,ALC Bike Events,ALC 2013 Bike Tour de Beach,11/5/2012 15:35,9/21/2013 13:39,200000,336,1,5792.15,145743.08,72353.42,28,30,7,0,15690,13,73389.66,120,57551,217,130687.75,1935,41619.17,41475,25518 Perdido Beach Blvd,Orange Beach,AL,36561,"Alabama, Orange Beach - Bike MS: Tour de Beach 2013",18544
2015,25459,ALC Bike Events,2015 Bike MS: Ride to the Rocket,10/20/2014 10:12,6/6/2015 16:59,105000,222,1,2817.5,91014.13,61459.98,16,18,10,1,1581,1,29554.15,99,22105.08,124,75119.05,6453,6454.15,6210,209 Fitness Way,Athens,AL,35611,ALC 2015 Bike MS: Ride to the Rocket,22490
2015,25926,ARR Bike Events,Bike MS: Rock'n Hot Ride 2015,12/12/2014 8:37,9/12/2015 11:03,120000,195,0,3782,107315.04,78626,22,22,6,2,3323,7,28689.04,99,19150.5,96,92514.54,2990,10339.04,4170,4701 Northshore Drive,North Little Rock,AR,72118,"TXH Arkansas, Little Rock - Bike MS 2015",23826
2014,23826,ARR Bike Events,Bike MS: Rock'n Hot Ride 2014,12/17/2013 10:09,9/6/2014 13:34,100000,188,0,3424,118164.18,87784.01,24,25,5,2,3026,13,30380.17,95,48344.54,93,101460.45,2563.34,32530.81,31390.81,4701 Northshore Drive,North Little Rock,AR,72118,"Arkansas, Little Rock - Bike MS 2014",21467
2013,21467,ARR Bike Events,Bike MS: Rock'n Hot Ride 2013,1/31/2013 8:08,9/7/2013 13:34,100000,142,4,2092,85973.9,62852.4,19,20,5,2,2725,11,23121.5,73,17268,73,69421.9,977.4,50,711,"Garver, 4701 Northshore Drive",North Little Rock,AR,72118,"Arkansas, Little Rock - Bike MS: Rock'n Hot Ride 2013",18953
2016,27919,ARR Bike Events,Bike MS: Rock'n Hot Ride 2016,1/27/2016 12:03,9/10/2016 10:58,150000,265,7,5053,125950.5,98088,25,27,9,25,4781,32,27862.5,150,32033.5,122,103434,1266.28,9275,9440,4701 Northshore Drive,North Little Rock,AR,72118,TXH 2016 Bike MS: Little Rock,25926
2014,22596,AZA Bike Events,Arizona Bike MS: Ride the Vortex 2014,8/15/2013 11:08,5/17/2014 15:25,626000,573,5,20005,350346.71,253643.25,55,58,8,9,20591,28,96703.46,322,50735.76,256,307539.66,6528.07,8054.81,7823.71,800 E Cherry St,Cottonwood,AZ,86326,AZA FY2014 Bike MS,19752
2015,25729,AZA Bike Events,Bike MS: Ride to Gold Presented by Point B,11/6/2014 12:10,5/2/2015 12:39,200000,380,5,10960,229548.92,167813.75,33,36,7,2,16306,27,61735.17,166,29544.97,219,204639.95,2628.15,2716.06,4441,16101 N. 83rd Ave,Peoria,AZ,85382,AZA Bike MS 2015,22596
2016,27681,AZA Bike Events,Bike MS: Arizona 2016,11/4/2015 0:24,4/16/2016 13:28,310000,417,5,12777.5,257612.24,187818.99,37,42,8,9,13816,45,69793.25,211,39204.63,211,222454.61,8242.18,2339.25,3050,16300 McDowell Mountain Park Dr.,Fort McDowell,AZ,85264,AZA 2016 Bike MS: Arizona,25729
2014,21747,AZA Bike Events,AZA Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,AZA Bike MS 2014 OLD,0
2017,28195,AZA Bike Events,Bike MS: Arizona 2017,7/22/2016 13:26,3/25/2017 15:30,210000,285,7,8015,197481.41,140971.45,30,32,6,0,12935,0,56509.96,162,27535.99,130,171521.42,3289.7,1823.03,1576,16300 McDowell Mountain Park Dr.,Fort McDowell,AZ,85264,AZA 2017 Bike MS: Fort McDowell,27681
2013,19752,AZA Bike Events,"Arizona, Cottonwood - Bike MS 2013",8/2/2012 9:50,5/18/2013 12:20,557701,873,9,20475,432358.26,265842.21,56,61,10,0,18374,0,166516.05,382,68007.41,500,365917.48,2400.01,62881.1,1416.63,800 E Cherry St,Cottonwood,AZ,86326,AZA FY2013 Bike MS,17649
2013,18177,CAL Bike Events,Bike MS: Coastal Challenge 2012,10/18/2011 13:08,10/6/2012 18:43,1100000,1233,168,13626.72,1065263.71,727246.1,132,143,6,16,30971,102,338017.61,487,122228.17,914,956087.04,5880.24,47279.01,10836.5,,Ventura,CA,,"CAL, Ventura - Bike MS: Coastal Challenge 2012",16936
2015,23843,CAL Bike Events,"California, Santa Monica - Bike MS: Coastal Challenge 2014",12/20/2013 17:18,10/11/2014 11:01,1250000,1322,232,36325.4,1154586.96,841152.37,124,135,7,89,31384,396,313434.59,597,141449.49,957,1104669.17,23835.54,197761.07,91068.7,,Santa Monica,CA,90401,"California, Santa Monica - Bike MS: Coastal Challenge 2014",21167
2014,21167,CAL Bike Events,"California, Ventura - Bike MS: Coastal Challenge 2013",12/4/2012 16:05,10/12/2013 18:45,1250000,1205,92,18654.73,1172975.52,735801.56,130,143,7,38,26054,323,437173.96,472,132738.04,825,1059177.61,14136.5,72510.6,15567.13,,Ventura,CA,93001,"CAL, Ventura - Bike MS: Coastal Challenge 2013",18177
2013,18743,CAL Bike Events,Bike MS: Vegas Challenge 2012,1/5/2012 13:02,11/10/2012 11:06,250000,391,50,6257.96,190833.02,112393.84,48,50,5,1,4553,9,78439.18,119,26643.02,322,166760,1180,54341.58,2550,,Las Vegas,NV,,"CAL, Vegas - Bike MS: Vegas Challenge 2012",17042
2013,22276,CAL Bike Events,CAL - Bike MS 2013 Volunteer,6/5/2013 11:00,6/29/2013 14:55,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,None,,CAL - Bike MS 2013 Volunteer,0
2014,21748,CAL Bike Events,CAL Bike MS 2014,4/1/2013 8:07,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,CAL Bike MS 2014 OLD,0
2016,27558,CAL Bike Events,CAL 2016 Walk MS: Conejo,10/29/2015 17:58,12/31/2016 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,CAL 2016 Walk MS: Conejo,0
2013,22296,CAL Bike Events,"CAL, Ventura - Bike MS: Coastal Challenge Volunteer Template 2013",6/13/2013 17:01,10/12/2013 15:14,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,None,,"CAL, Ventura - Bike MS: Coastal Challenge Volunteer Template 2013",0
2015,26716,CAL Bike Events,"Bike MS: Las Vegas, presented by Interbike",7/16/2015 11:25,9/19/2015 17:50,100000,151,3,2925,22527,18970,14,14,4,2,1464,4,3557,49,9230,105,18437,2565,6922,5100,3700 West Flamingo Rd.,Las Vegas,NV,89103,CAL Bike MS: Las Vegas 2015,0
