# ----------------------------------------
# Bike MS - Luminate Pages
# Events Overview
# 20160401-20171214
# ----------------------------------------

Day Index,Total Events
4/1/16,0
4/2/16,0
4/3/16,0
4/4/16,0
4/5/16,0
4/6/16,0
4/7/16,0
4/8/16,0
4/9/16,0
4/10/16,0
4/11/16,0
4/12/16,"16,837"
4/13/16,"76,807"
4/14/16,"90,638"
4/15/16,"169,194"
4/16/16,"59,642"
4/17/16,"40,180"
4/18/16,"46,193"
4/19/16,"43,296"
4/20/16,"29,957"
4/21/16,"40,945"
4/22/16,"28,481"
4/23/16,"19,516"
4/24/16,"17,931"
4/25/16,"35,861"
4/26/16,"29,957"
4/27/16,"26,349"
4/28/16,"24,873"
4/29/16,"35,643"
4/30/16,"16,291"
5/1/16,"25,584"
5/2/16,"47,396"
5/3/16,"46,248"
5/4/16,"50,840"
5/5/16,"43,023"
5/6/16,"35,260"
5/7/16,"23,288"
5/8/16,"29,957"
5/9/16,"44,007"
5/10/16,"44,116"
5/11/16,"38,649"
5/12/16,"38,431"
5/13/16,"32,253"
5/14/16,"18,204"
5/15/16,"30,449"
5/16/16,"60,243"
5/17/16,"61,118"
5/18/16,"53,300"
5/19/16,"52,425"
5/20/16,"48,380"
5/21/16,"30,504"
5/22/16,"34,659"
5/23/16,"73,746"
5/24/16,"48,763"
5/25/16,"50,184"
5/26/16,"61,719"
5/27/16,"23,561"
5/28/16,"10,824"
5/29/16,"11,808"
5/30/16,"15,471"
5/31/16,"42,695"
6/1/16,"35,260"
6/2/16,"36,517"
6/3/16,"40,235"
6/4/16,"16,892"
6/5/16,"31,597"
6/6/16,"42,531"
6/7/16,"40,672"
6/8/16,"43,351"
6/9/16,"44,389"
6/10/16,"48,981"
6/11/16,"22,632"
6/12/16,"23,179"
6/13/16,"58,330"
6/14/16,"33,893"
6/15/16,"31,707"
6/16/16,"24,217"
6/17/16,"25,365"
6/18/16,"16,619"
6/19/16,"15,908"
6/20/16,"47,779"
6/21/16,"37,884"
6/22/16,"47,123"
6/23/16,"43,296"
6/24/16,"52,207"
6/25/16,"29,793"
6/26/16,"21,320"
6/27/16,"32,855"
6/28/16,"14,049"
6/29/16,"22,031"
6/30/16,"14,377"
7/1/16,"16,127"
7/2/16,"7,216"
7/3/16,"6,779"
7/4/16,"10,059"
7/5/16,"23,069"
7/6/16,"18,696"
7/7/16,"13,995"
7/8/16,"17,329"
7/9/16,"11,097"
7/10/16,"11,207"
7/11/16,"25,256"
7/12/16,"17,931"
7/13/16,"18,040"
7/14/16,"21,757"
7/15/16,"20,445"
7/16/16,"11,699"
7/17/16,"14,815"
7/18/16,"33,292"
7/19/16,"25,201"
7/20/16,"19,352"
7/21/16,"22,085"
7/22/16,"21,429"
7/23/16,"18,368"
7/24/16,"26,240"
7/25/16,"29,465"
7/26/16,"25,639"
7/27/16,"25,693"
7/28/16,"25,857"
7/29/16,"23,452"
7/30/16,"9,293"
7/31/16,"24,873"
8/1/16,"34,768"
8/2/16,"46,139"
8/3/16,"54,885"
8/4/16,"52,097"
8/5/16,"52,207"
8/6/16,"25,256"
8/7/16,"24,873"
8/8/16,"45,428"
8/9/16,"33,620"
8/10/16,"22,796"
8/11/16,"23,397"
8/12/16,"28,809"
8/13/16,"13,831"
8/14/16,"17,657"
8/15/16,"34,112"
8/16/16,"33,565"
8/17/16,"33,292"
8/18/16,"32,472"
8/19/16,"23,015"
8/20/16,"11,753"
8/21/16,"23,889"
8/22/16,"39,743"
8/23/16,"32,691"
8/24/16,"33,784"
8/25/16,"39,524"
