# ----------------------------------------
# Bike MS - Luminate Pages
# Exit Pages
# 20160401-20171214
# ----------------------------------------

Page,Exits,Pageviews,% Exit
(other),"8,386,367","20,314,119",41.28%
/site/Donation2,"25,615","480,054",5.34%
/site/Donation2?idb=1138530038&df_id=58680&58680.donation=form1&FR_ID=29046&mfc_pref=T&PROXY_ID=7277152&PROXY_TYPE=20,130,202,64.36%
/site/Donation2?idb=1195490283&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=11642887&PROXY_TYPE=20&NONCE_TOKEN=C52A570AFCB480967DDD2F8D4E9C1A38&s_subsrc=bfAphFbPfMsg&s_src=boundlessfundraising,111,132,84.09%
/site/Donation2?58752.donation=form1&idb=192683219&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=16295384&PROXY_TYPE=20,110,167,65.87%
/site/Donation2?57798.donation=form1&idb=946277130&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=8630782&PROXY_TYPE=20&s_subsrc=bfDskFbPfStream&s_src=boundlessfundraising,86,112,76.79%
/site/Donation2?58752.donation=form1&idb=229499364&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=15053854&PROXY_TYPE=20&NONCE_TOKEN=E87773A911950932B78990DE60D18625,83,153,54.25%
/site/Donation2?idb=1227742618&58513.donation=form1&df_id=58513&FR_ID=28914&mfc_pref=T&PROXY_ID=514720&PROXY_TYPE=22,78,138,56.52%
/site/Donation2?idb=1195525717&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=499498&PROXY_TYPE=22,72,115,62.61%
/site/Donation2?57677.donation=form1&idb=952470796&df_id=57677&FR_ID=28104&mfc_pref=T&PROXY_ID=3961934&PROXY_TYPE=20&s_subsrc=bfDskFbPfPrbdg&s_src=boundlessfundraising,67,99,67.68%
/site/Donation2?58752.donation=form1&idb=336045571&df_id=58752&FR_ID=29055&mfc_pref=T&PROXY_ID=15696273&PROXY_TYPE=20&NONCE_TOKEN=71F5B01E4BF41C922200E50EF16D06FF,67,105,63.81%
/site/Donation2?idb=1016210695&df_id=55952&FR_ID=27061&PROXY_ID=1851642&PROXY_TYPE=20&55952.donation=form1,60,173,34.68%
/site/Donation2?idb=1237540763&df_id=55807&FR_ID=27037&mfc_pref=T&55807.donation=form1&PROXY_ID=12188945&PROXY_TYPE=20,57,170,33.53%
/site/Donation2?idb=1265842651&df_id=56599&FR_ID=27690&mfc_pref=T&PROXY_ID=15218366&PROXY_TYPE=20&56599.donation=form1&s_subsrc=bfAphGfSelf&s_src=boundlessfundraising,57,95,60.00%
/site/Donation2?idb=1432826977&57826.donation=form1&df_id=57826&FR_ID=28263&mfc_pref=T&PROXY_ID=15679841&PROXY_TYPE=20&NONCE_TOKEN=2D17AA7C96F6ED472DA27C30A8C6295D&s_subsrc=bfIphPfClct&s_src=boundlessfundraising,56,90,62.22%
/site/Donation2?57798.donation=form1&idb=1976695395&df_id=57798&FR_ID=28216&mfc_pref=T&PROXY_ID=16248996&PROXY_TYPE=20&NONCE_TOKEN=FAFF2FAA83AC9B365A30476A736ABFDE,54,75,72.00%
