# ----------------------------------------
# Bike MS - Luminate Pages
# Goal Funnel
# 20160401-20171214
# ----------------------------------------

Day Index,Bike Registration - Join a Team (Goal 3 Conversion Rate)
4/1/16,0.00%
4/2/16,0.00%
4/3/16,0.00%
4/4/16,0.00%
4/5/16,0.00%
4/6/16,0.00%
4/7/16,0.00%
4/8/16,0.00%
4/9/16,0.00%
4/10/16,0.00%
4/11/16,1.02%
4/12/16,0.71%
4/13/16,0.88%
4/14/16,0.64%
4/15/16,0.42%
4/16/16,0.19%
4/17/16,0.32%
4/18/16,0.56%
4/19/16,0.61%
4/20/16,0.68%
4/21/16,0.52%
4/22/16,0.51%
4/23/16,0.31%
4/24/16,0.54%
4/25/16,0.88%
4/26/16,0.86%
4/27/16,0.70%
4/28/16,0.83%
4/29/16,1.16%
4/30/16,0.91%
5/1/16,0.58%
5/2/16,0.88%
5/3/16,0.79%
5/4/16,0.73%
5/5/16,0.92%
5/6/16,0.72%
5/7/16,0.49%
5/8/16,0.62%
5/9/16,0.95%
5/10/16,0.68%
5/11/16,0.66%
5/12/16,0.60%
5/13/16,0.76%
5/14/16,0.42%
5/15/16,0.51%
5/16/16,0.86%
5/17/16,0.67%
5/18/16,0.80%
5/19/16,0.65%
5/20/16,0.77%
5/21/16,0.52%
5/22/16,0.53%
5/23/16,0.57%
5/24/16,0.76%
5/25/16,0.84%
5/26/16,0.91%
5/27/16,0.88%
5/28/16,0.47%
5/29/16,0.50%
5/30/16,0.71%
5/31/16,1.46%
6/1/16,0.54%
6/2/16,0.40%
6/3/16,0.40%
6/4/16,0.28%
6/5/16,0.37%
6/6/16,0.51%
6/7/16,0.40%
6/8/16,0.37%
6/9/16,0.45%
6/10/16,0.41%
6/11/16,0.26%
6/12/16,0.29%
6/13/16,0.57%
6/14/16,0.60%
6/15/16,0.91%
6/16/16,0.60%
6/17/16,0.75%
6/18/16,0.47%
6/19/16,0.51%
6/20/16,0.75%
6/21/16,0.54%
6/22/16,0.67%
6/23/16,0.55%
6/24/16,0.37%
6/25/16,0.28%
6/26/16,0.44%
6/27/16,0.96%
6/28/16,1.01%
6/29/16,1.21%
6/30/16,1.59%
7/1/16,1.15%
7/2/16,0.56%
7/3/16,0.71%
7/4/16,0.92%
7/5/16,0.92%
7/6/16,0.81%
7/7/16,0.77%
7/8/16,0.79%
7/9/16,0.48%
7/10/16,0.51%
7/11/16,0.78%
7/12/16,0.78%
7/13/16,0.85%
7/14/16,0.85%
7/15/16,0.69%
7/16/16,0.44%
7/17/16,0.47%
7/18/16,0.68%
7/19/16,0.64%
7/20/16,0.66%
7/21/16,0.78%
7/22/16,0.91%
7/23/16,0.30%
7/24/16,0.58%
7/25/16,0.75%
7/26/16,0.63%
7/27/16,0.75%
7/28/16,0.73%
7/29/16,0.62%
7/30/16,0.37%
7/31/16,0.61%
8/1/16,0.51%
8/2/16,0.61%
8/3/16,0.55%
8/4/16,0.37%
8/5/16,0.33%
8/6/16,0.29%
8/7/16,0.32%
8/8/16,0.63%
8/9/16,0.70%
8/10/16,0.65%
8/11/16,0.58%
8/12/16,0.54%
8/13/16,0.41%
8/14/16,0.48%
8/15/16,0.79%
8/16/16,0.56%
8/17/16,0.49%
8/18/16,0.57%
8/19/16,0.60%
8/20/16,0.41%
8/21/16,0.55%
8/22/16,0.73%
8/23/16,0.53%
8/24/16,0.62%
8/25/16,0.64%
8/26/16,0.55%
8/27/16,0.35%
8/28/16,0.42%
8/29/16,0.60%
8/30/16,0.50%
8/31/16,0.69%
9/1/16,0.47%
9/2/16,0.52%
9/3/16,0.28%
9/4/16,0.36%
9/5/16,0.51%
9/6/16,0.56%
9/7/16,0.47%
9/8/16,0.45%
9/9/16,0.27%
9/10/16,0.30%
9/11/16,0.32%
9/12/16,0.61%
9/13/16,0.56%
9/14/16,0.46%
9/15/16,0.47%
9/16/16,0.43%
9/17/16,0.29%
9/18/16,0.29%
9/19/16,0.57%
9/20/16,0.43%
9/21/16,0.53%
9/22/16,0.44%
9/23/16,0.35%
9/24/16,0.10%
9/25/16,0.34%
9/26/16,3.67%
9/27/16,2.77%
9/28/16,2.79%
9/29/16,4.29%
9/30/16,6.09%
10/1/16,1.00%
10/2/16,0.84%
10/3/16,1.18%
10/4/16,0.92%
10/5/16,1.21%
10/6/16,1.30%
10/7/16,0.75%
10/8/16,0.59%
10/9/16,0.79%
10/10/16,0.76%
10/11/16,0.75%
10/12/16,0.83%
10/13/16,0.89%
10/14/16,0.88%
10/15/16,0.76%
10/16/16,0.59%
10/17/16,0.85%
10/18/16,0.73%
10/19/16,0.79%
10/20/16,0.94%
10/21/16,0.51%
10/22/16,0.13%
10/23/16,0.25%
10/24/16,0.84%
10/25/16,1.25%
10/26/16,0.98%
10/27/16,1.13%
10/28/16,1.44%
10/29/16,1.05%
10/30/16,0.89%
10/31/16,3.45%
11/1/16,1.75%
11/2/16,1.54%
11/3/16,1.86%
11/4/16,8.14%
11/5/16,0.98%
11/6/16,1.22%
11/7/16,1.78%
11/8/16,1.80%
11/9/16,1.67%
11/10/16,1.58%
11/11/16,1.64%
11/12/16,1.28%
11/13/16,1.04%
11/14/16,1.83%
11/15/16,1.65%
11/16/16,3.18%
11/17/16,2.29%
11/18/16,2.25%
11/19/16,1.37%
11/20/16,1.87%
11/21/16,2.78%
11/22/16,1.99%
11/23/16,2.14%
11/24/16,1.01%
11/25/16,0.88%
11/26/16,1.55%
11/27/16,1.79%
11/28/16,3.19%
11/29/16,3.40%
11/30/16,4.83%
12/1/16,1.74%
12/2/16,1.86%
12/3/16,1.34%
12/4/16,1.93%
12/5/16,1.94%
12/6/16,2.22%
12/7/16,2.52%
12/8/16,2.33%
12/9/16,2.32%
12/10/16,1.12%
12/11/16,1.47%
12/12/16,2.80%
12/13/16,2.01%
12/14/16,2.43%
12/15/16,1.93%
12/16/16,2.27%
12/17/16,1.15%
12/18/16,1.74%
12/19/16,1.97%
12/20/16,2.39%
12/21/16,2.18%
12/22/16,2.17%
12/23/16,2.14%
12/24/16,1.36%
12/25/16,1.41%
12/26/16,2.31%
12/27/16,2.40%
12/28/16,2.39%
12/29/16,3.13%
12/30/16,4.14%
12/31/16,5.89%
1/1/17,1.74%
1/2/17,2.77%
1/3/17,2.36%
1/4/17,1.87%
1/5/17,2.26%
1/6/17,2.07%
1/7/17,1.24%
1/8/17,1.50%
1/9/17,1.98%
1/10/17,1.47%
1/11/17,2.17%
1/12/17,2.48%
1/13/17,2.60%
1/14/17,1.68%
1/15/17,1.54%
1/16/17,1.90%
1/17/17,1.65%
1/18/17,1.42%
1/19/17,2.78%
1/20/17,2.12%
1/21/17,1.21%
1/22/17,1.51%
1/23/17,1.56%
1/24/17,1.50%
1/25/17,1.55%
1/26/17,2.21%
1/27/17,2.11%
1/28/17,1.38%
1/29/17,1.75%
1/30/17,2.30%
1/31/17,2.77%
2/1/17,1.09%
2/2/17,1.20%
2/3/17,1.01%
2/4/17,1.09%
2/5/17,1.07%
2/6/17,1.48%
2/7/17,1.19%
2/8/17,1.43%
2/9/17,1.50%
2/10/17,1.59%
2/11/17,1.04%
2/12/17,1.07%
2/13/17,1.66%
2/14/17,1.81%
2/15/17,1.82%
2/16/17,1.79%
2/17/17,1.91%
2/18/17,1.15%
2/19/17,1.23%
2/20/17,1.72%
2/21/17,1.63%
2/22/17,1.54%
2/23/17,1.56%
2/24/17,1.76%
2/25/17,1.68%
2/26/17,1.95%
2/27/17,2.34%
2/28/17,2.71%
3/1/17,3.23%
3/2/17,1.30%
3/3/17,0.99%
3/4/17,0.86%
3/5/17,0.87%
3/6/17,2.71%
3/7/17,1.39%
3/8/17,1.80%
3/9/17,1.68%
3/10/17,2.19%
3/11/17,1.43%
3/12/17,1.46%
3/13/17,1.09%
3/14/17,1.47%
3/15/17,1.58%
3/16/17,1.21%
3/17/17,2.17%
3/18/17,1.02%
3/19/17,0.96%
3/20/17,1.24%
3/21/17,1.18%
3/22/17,1.14%
3/23/17,0.98%
3/24/17,1.18%
3/25/17,0.97%
3/26/17,1.02%
3/27/17,0.91%
3/28/17,1.10%
3/29/17,1.01%
3/30/17,1.01%
3/31/17,1.63%
4/1/17,0.80%
4/2/17,0.80%
4/3/17,1.13%
4/4/17,0.93%
4/5/17,0.68%
4/6/17,1.13%
4/7/17,0.82%
4/8/17,0.63%
4/9/17,0.83%
4/10/17,0.95%
4/11/17,0.99%
4/12/17,0.77%
4/13/17,0.81%
4/14/17,1.08%
4/15/17,0.60%
4/16/17,0.77%
4/17/17,0.78%
4/18/17,0.65%
4/19/17,0.78%
4/20/17,0.99%
4/21/17,0.82%
4/22/17,0.49%
4/23/17,0.53%
4/24/17,0.78%
4/25/17,0.77%
4/26/17,0.56%
4/27/17,0.59%
4/28/17,0.49%
4/29/17,0.22%
4/30/17,0.37%
5/1/17,0.60%
5/2/17,0.60%
5/3/17,0.67%
5/4/17,0.62%
5/5/17,0.47%
5/6/17,0.23%
5/7/17,0.44%
5/8/17,0.67%
5/9/17,0.65%
5/10/17,0.68%
5/11/17,0.74%
5/12/17,0.67%
5/13/17,0.45%
5/14/17,0.63%
5/15/17,0.81%
5/16/17,0.59%
5/17/17,0.87%
5/18/17,0.78%
5/19/17,1.04%
5/20/17,0.62%
5/21/17,0.71%
5/22/17,0.97%
5/23/17,0.84%
5/24/17,0.80%
5/25/17,1.10%
5/26/17,0.74%
5/27/17,0.39%
5/28/17,0.49%
5/29/17,0.75%
5/30/17,0.87%
5/31/17,0.92%
6/1/17,0.75%
6/2/17,0.66%
6/3/17,0.44%
6/4/17,0.56%
6/5/17,0.70%
6/6/17,0.46%
6/7/17,0.51%
6/8/17,0.56%
6/9/17,0.56%
6/10/17,0.33%
6/11/17,0.67%
6/12/17,0.80%
6/13/17,0.74%
6/14/17,0.72%
6/15/17,0.74%
6/16/17,0.71%
6/17/17,0.37%
6/18/17,0.66%
6/19/17,0.60%
6/20/17,0.54%
6/21/17,0.67%
6/22/17,0.56%
6/23/17,0.42%
6/24/17,0.19%
6/25/17,0.46%
6/26/17,0.62%
6/27/17,0.65%
6/28/17,1.16%
6/29/17,1.26%
6/30/17,1.80%
7/1/17,0.57%
7/2/17,0.63%
7/3/17,1.00%
7/4/17,0.65%
7/5/17,1.29%
7/6/17,0.97%
7/7/17,0.82%
7/8/17,0.48%
7/9/17,0.64%
7/10/17,0.93%
7/11/17,0.69%
7/12/17,0.66%
7/13/17,0.74%
7/14/17,0.91%
7/15/17,0.65%
7/16/17,0.72%
7/17/17,0.78%
7/18/17,0.70%
7/19/17,0.69%
7/20/17,0.75%
7/21/17,0.74%
7/22/17,0.43%
7/23/17,0.46%
7/24/17,0.69%
7/25/17,0.63%
7/26/17,0.72%
7/27/17,0.89%
7/28/17,0.70%
7/29/17,0.41%
7/30/17,0.51%
7/31/17,0.83%
8/1/17,0.66%
8/2/17,0.74%
8/3/17,0.64%
8/4/17,0.73%
8/5/17,0.34%
8/6/17,0.89%
8/7/17,1.34%
8/8/17,0.91%
8/9/17,0.95%
8/10/17,0.94%
8/11/17,0.98%
8/12/17,0.60%
8/13/17,0.70%
8/14/17,0.82%
8/15/17,0.88%
8/16/17,0.80%
8/17/17,0.70%
8/18/17,0.71%
8/19/17,0.68%
8/20/17,0.61%
8/21/17,0.86%
8/22/17,0.68%
8/23/17,0.79%
8/24/17,0.64%
8/25/17,0.61%
8/26/17,0.43%
8/27/17,0.70%
8/28/17,0.77%
8/29/17,0.63%
8/30/17,0.69%
8/31/17,0.67%
9/1/17,0.64%
9/2/17,0.45%
9/3/17,0.44%
9/4/17,0.49%
9/5/17,0.49%
9/6/17,0.50%
9/7/17,0.45%
9/8/17,0.35%
9/9/17,0.31%
9/10/17,0.37%
9/11/17,0.51%
9/12/17,0.50%
9/13/17,0.59%
9/14/17,0.56%
9/15/17,0.38%
9/16/17,0.37%
9/17/17,0.44%
9/18/17,0.52%
9/19/17,0.47%
9/20/17,0.31%
9/21/17,0.27%
9/22/17,0.24%
9/23/17,0.21%
9/24/17,0.54%
9/25/17,0.87%
9/26/17,0.86%
9/27/17,0.85%
9/28/17,0.67%
9/29/17,0.81%
9/30/17,0.53%
10/1/17,1.00%
10/2/17,0.66%
10/3/17,0.53%
10/4/17,0.55%
10/5/17,0.47%
10/6/17,0.41%
10/7/17,0.15%
10/8/17,0.47%
10/9/17,0.71%
10/10/17,2.08%
10/11/17,1.50%
10/12/17,1.49%
10/13/17,1.13%
10/14/17,0.75%
10/15/17,0.86%
10/16/17,1.40%
10/17/17,2.01%
10/18/17,1.11%
10/19/17,1.22%
10/20/17,0.74%
10/21/17,0.20%
10/22/17,0.30%
10/23/17,1.99%
10/24/17,2.24%
10/25/17,3.70%
10/26/17,2.64%
10/27/17,2.63%
10/28/17,1.69%
10/29/17,2.08%
10/30/17,3.27%
10/31/17,3.85%
11/1/17,4.08%
11/2/17,4.79%
11/3/17,2.64%
11/4/17,2.12%
11/5/17,2.97%
11/6/17,2.74%
11/7/17,1.73%
11/8/17,2.71%
11/9/17,2.10%
11/10/17,3.39%
11/11/17,0.83%
11/12/17,1.85%
11/13/17,1.92%
11/14/17,2.24%
11/15/17,2.77%
11/16/17,1.95%
11/17/17,1.92%
11/18/17,1.47%
11/19/17,2.32%
11/20/17,2.87%
11/21/17,1.94%
11/22/17,2.31%
11/23/17,0.87%
11/24/17,1.82%
11/25/17,1.07%
