# ----------------------------------------
# Bike MS - Luminate Pages
# Landing Pages
# 20160401-20171214
# ----------------------------------------

Landing Page,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Bike Registration - Join Team from Team Page (Goal 4 Conversion Rate),Bike Registration - Join Team from Team Page (Goal 4 Completions),Bike Registration - Join Team from Team Page (Goal 4 Value)
(other),"7,266,304",52.15%,"3,789,668",41.32%,2.49,00:03:07,0.93%,"67,766",$0.00
/site/SPageNavigator/BIKE_HOM_splash.html,"134,780",52.34%,"70,539",17.73%,3.87,00:04:25,3.50%,"4,723",$0.00
/site/SPageServer/?list_category_id=1556&starting_postal=02125&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_subsrc=MAM-GC,"57,672",76.58%,"44,164",33.83%,1.10,00:00:29,0.00%,0,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27061,"38,094",24.26%,"9,242",32.40%,2.33,00:03:39,0.38%,146,$0.00
(not set),"36,470",2.99%,"1,091",0.00%,0.00,00:00:30,0.00%,0,$0.00
/site/SPageServer/?pagename=BIKE_HOM_splash,"27,845",62.63%,"17,438",37.14%,2.50,00:02:30,1.33%,371,$0.00
/site/SPageServer/?pagename=BIKE_HOM_events,"19,187",58.80%,"11,282",31.03%,2.94,00:03:36,4.17%,800,$0.00
/site/PageServer?pagename=BIKE_HOM_pc,"18,635",26.12%,"4,867",30.06%,2.70,00:03:38,0.09%,16,$0.00
/site/SPageNavigator/BIKE_HOM_splash.html?s_src=BMS-HOM-ADS&s_subsrc=HOM-GS-ALL-SEM,"15,740",51.16%,"8,053",51.28%,1.22,00:00:33,0.37%,59,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27048,"13,458",19.88%,"2,676",38.74%,1.85,00:03:03,0.18%,24,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27764,"13,160",21.09%,"2,776",39.24%,2.00,00:03:38,0.49%,64,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27037,"11,170",19.90%,"2,223",31.13%,2.00,00:03:23,0.21%,23,$0.00
/site/PageNavigator/BIKE_TXH_2015BikeList.html,"10,813",69.23%,"7,486",37.28%,2.89,00:02:55,0.69%,75,$0.00
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27876,"9,747",21.86%,"2,131",38.51%,2.04,00:03:48,0.21%,20,$0.00
