# ----------------------------------------,,,,,,,
# Bike MS - Luminate Pages,,,,,,,
# Pages,,,,,,,
# 20160401-20171214,,,,,,,
# ----------------------------------------,,,,,,,
,,,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
(other),"6,223,292","5,358,530",0:02:21,"2,475,161",38.15%,40.73%,$0.00 
/site/Donation2,"480,054","313,600",0:01:33,"3,207",13.74%,5.34%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28263,"345,317","254,028",0:01:31,"217,561",33.27%,37.42%,$0.00 
/site/SPageNavigator/BIKE_HOM_splash.html,"194,727","151,904",0:00:58,"134,780",17.71%,22.94%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=27003,"176,467","125,714",0:01:28,"110,716",12.17%,37.33%,$0.00 
/site/TR/Bike/PAEBikeEvents?pg=entry&fr_id=28216,"134,939","96,191",0:01:23,"76,603",30.55%,33.65%,$0.00 
/site/SPageServer/?pagename=BIKE_HOM_events,"102,172","75,903",0:01:59,"19,187",30.91%,39.22%,$0.00 
/site/TR/Bike/PAEBikeEvents?pg=entry&fr_id=27061,"101,922","68,137",0:01:12,"52,228",21.60%,30.01%,$0.00 
/site/TR/Bike/NYNBikeEvents?pg=entry&fr_id=27764,"97,156","65,923",0:01:27,"55,557",36.15%,40.61%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28263,"85,593","55,824",0:04:27,"29,494",45.40%,51.39%,$0.00 
/site/TR/Bike/NYNBikeEvents?pg=entry&fr_id=29055,"85,136","61,679",0:01:35,"51,575",30.46%,39.34%,$0.00 
/site/SPageServer/?pagename=BIKE_HOM_splash,"84,272","64,791",0:01:15,"27,845",37.74%,35.47%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc&pc2_page=center&fr_id=27061,"81,793","50,668",0:03:35,"38,094",32.04%,48.64%,$0.00 
/site/TR/Bike/MNMBikeEvents?pg=entry&fr_id=28105,"80,669","57,055",0:01:26,"43,142",34.52%,34.74%,$0.00 
/site/TR?fr_id=28263&pg=informational&sid=13242,"65,433","55,486",0:06:26,"28,496",24.26%,60.70%,$0.00 
/site/TR/Bike/ILDBikeEvents?pg=entry&fr_id=27043&s_src=BMS-HOM-ADS&s_subsrc=ILD-GC,"63,200","58,579",0:04:19,"58,551",26.40%,90.60%,$0.00 
/site/SPageServer/?list_category_id=1556&starting_postal=02125&pagename=BIKE_HOM_events&s_src=BMS-HOM-ADS&s_subsrc=MAM-GC,"62,445","57,695",0:04:59,"57,672",33.81%,91.14%,$0.00 
/site/TR/Bike/WASBikeEvents?pg=entry&fr_id=27170&s_src=BMS-HOM-ADS&s_subsrc=WAS-GC,"60,623","55,054",0:04:09,"55,010",76.42%,88.19%,$0.00 
/site/TR/Bike/COCBikeEvents?pg=entry&fr_id=28914,"59,107","41,126",0:01:24,"32,859",32.89%,32.78%,$0.00 
/site/TR/Bike/TXHBikeEvents?pg=entry&fr_id=28791,"54,914","37,030",0:01:23,"29,421",20.48%,29.10%,$0.00 
/site/SPageServer?pagename=BIKE_HOM_pc_2017&pc2_page=center&fr_id=28216,"49,130","29,836",0:04:03,"15,481",42.63%,49.05%,$0.00 
/site/TR/Bike/CASBikeEvents?pg=entry&fr_id=27876,"49,015","33,208",0:01:18,"24,655",29.29%,32.00%,$0.00 
